Name,Keywords,Definiton,Alternate Names
melanoma,"mass of body structure,paraparesis,fever,gravida 0,pain,pruritus,mass in breast,vomiting,diarrhea",Melanoma is a type of skin cancer that begins in pigment-producing cells called melanocytes. This cancer typically occurs in areas that are only occasionally sun-exposed; tumors are most commonly found on the back in men and on the legs in women,
metastasis,"thicken,tumor cell invasion,metastatic lesion,pain neck,lung nodule,pain,pain abdominal,food intolerance,mass of body structure,atypia","Cancer can also spread regionally, to nearby lymph nodes, tissues, or organs. And it can spread to distant parts of the body. When this happens, it is called metastatic cancer. For many types of cancer, it is also called stage IV (four) cancer. The process by which cancer cells spread to other parts of the body is called metastasis.",cancer IV stage
migraine,"ambidexterity,vomiting,dizziness,numbness,nausea,fever,splenomegaly","Migraines are a recurring type of headache. They cause moderate to severe pain that is throbbing or pulsing. The pain is often on one side of your head. You may also have other symptoms, such as nausea and weakness.migraine symptoms may include Increased sensitivity to light, noise, and odors Nausea and vomiting Worsened pain when you move, cough, or sneeze Postdrome",disorder
mitral valve insufficiency,"shortness of breath,dyspnea on exertion,asymptomatic,hypokinesia,dyspnea,syncope,thicken,left atrial hypertrophy,palpitation,fatigue,vomiting,pain,cardiomegaly,chest discomfort","Mitral Valve Insufficiency, also known as mitral regurgitation, is related to left bundle branch hemiblock and systolic heart failure. An important gene associated with Mitral Valve Insufficiency is TBX5 (T-Box Transcription Factor 5), and among its related pathways/superpathways are Arginine biosynthesis and Proximal tubule bicarbonate reclamation. The drugs Ranolazine and Warfarin have been mentioned in the context of this disorder. Affiliated tissues include heart, testes and brain.",
Morbid Obesity,"out of breath,sedentary,angina pectoris,cough,unhappy,labored breathing,hypothermia, natural,dyspnea,hematocrit decreased,wheezing,hypoxemia,renal angle tenderness,feels hot/feverish","Morbid Obesity and Spermatogenic Failure, is also known as mospgf. An important gene associated with Morbid Obesity and Spermatogenic Failure is CEP19 (Centrosomal Protein 19). Affiliated tissues include liver and heart, and related phenotypes are obesity and hypertension",
myocardial infarction,"pain chest,st segment elevation,sweat,sweating increased,shortness of breath,st segment depression,hypokinesia,angina pectoris,pressure chest,t wave inverted,orthopnea,rale,chest tightness,presence of q wave,palpitation,dyspnea,chest discomfort,bradycardia,syncope","symptoms including angina pectoris, edema and chest pain. Discomfort in the upper body. You may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach. You may also have other symptoms, such as nausea, vomiting, dizziness, and lightheadedness.",coronary artery disease myocardial cell death
neoplasm,"mass of body structure,lesion,pain chest,hematuria,tumor cell invasion,pain,anosmia,thicken,metastatic lesion,food intolerance,decreased body weight,night sweat,hemianopsia homonymous,satiety early,pain abdominal,headache","A neoplasm is a type of abnormal and excessive growth, called neoplasia, of tissue. The growth of a neoplasm is uncoordinated with that of the normal surrounding tissue, and it persists growing abnormally, even if the original trigger is removed. This abnormal growth usually forms a mass.",
neuropathy,"asthenia,numbness,nausea and vomiting,awakening early,hydropneumothorax,superimposition,fatigability,tenesmus,pain,slowing of urinary stream","A nervous system disease that is located in nerves or nerve cells.Neuropathy, also known as peripheral neuropathy, is related to neuropathy, hereditary, with liability to pressure palsies and neuropathy, hereditary sensory, type ie, and has symptoms including seizures, tremor and back pain. An important gene associated with Neuropathy is DLX6-AS1 (DLX6 Antisense RNA 1), and among its related pathways/superpathways is Neural Crest Differentiation. The drugs Pravastatin and Fexofenadine have been mentioned in the context of this disorder. Affiliated tissues include breast, testes and skin, and related phenotypes are behavior/neurological and cellular",
neutropenia,"transaminitis,splenomegaly,night sweat,apyrexial,lesion,snuffle,chill,cough,monoclonal,hypocalcemia result,oliguria,rhd positive,distress respiratory","Neutropenia, also known as leukopenia, is related to severe congenital neutropenia autosomal dominant and cyclic neutropenia. An important gene associated with Neutropenia is VPS13B (Vacuolar Protein Sorting 13 Homolog B), and among its related pathways/superpathways are JAK-STAT signaling pathway (KEGG) and Hematopoietic Stem Cell Differentiation Pathways and Lineage-specific Markers. The drugs Ceftazidime and Prednisolone phosphate have been mentioned in the context of this disorder. Affiliated tissues include lung, breast and neutrophil, and related phenotypes are no effect and hematopoietic system",
obesity,"pain,catatonia,snore,pain chest,r wave feature,has religious belief,shortness of breath,fatigue,tired,overweight,systolic murmur,mood depressed,ecchymosis","Obesity means having too much body fat. It is different from being overweight, which means weighing too much. The weight may come from muscle, bone, fat, and/or body water. Both terms mean that a person's weight is greater than what's considered healthy for his or her height.",
Osteoarthritis,"pain,food intolerance,numbness of hand,general discomfort,drowsiness,asthenia,nonsmoker,non-productive cough,polydypsia,stiffness,unsteady gait","osteoarthritis,obesity, repeated trauma or surgery to the joint structures, abnormal joints at birth (congenital abnormalities), gout, rheumatoid arthritis, diabetes, and other hormone disorders,Staphylococcus aureus",degenerative polyarthritis
osteomyelitis,"pain,redness,prostate tender,fever,difficulty passing urine,sore to touch,swelling,apyrexial,erythema,abscess bacterial,pain foot,urinary hesitation","Osteomyelitis is the medical term for an infection in a bone. Signs and symptoms vary but may include bone pain, fever, chills, excessive sweating, malaise, or an open wound. People with the condition may also experience local swelling, redness, and warmth at the site of the infection. Although any bone in the body can be affected, the long bones of the arms and legs are most commonly infected in children, while the feet, spine bones, and hips are primarily affected in adults.",
osteoporosis,"prostatism,fall,hirsutism,sniffle,distended abdomen,vertigo,numbness of hand,bradykinesia,pain,syncope,out of breath,apyrexial,urge incontinence,lightheadedness","This is because the kidneys normally balance the amount of salts and fluids in your body. When they retain salt, they increase the bodyâ€™s total sodium content, which increases your fluid content.",
pancreatitis,"vomiting,pain abdominal,nausea,pain,diarrhea,stool color yellow,rigor - temperature-associated observation,apyrexial,sore to touch","Pancreatitis is inflammation of the pancreas. Symptoms include nausea, vomiting, weight loss, and oily stools. Treatment may also be a few days in the hospital for intravenous (IV) fluids, medicines to relieve pain, and nutritional support.",
pancytopenia,"hypoproteinemia,fatigue,haemorrhage,fatigability,cushingoid facies,cushingoid habitus,stool color yellow,colic abdominal","An anemia that is characterized by a reduction in the number of red blood cells, white blood cells, and platelets.Affiliated tissues include bone, bone marrow and t cells, and related phenotypes are homeostasis/metabolism and hematopoietic system",
parkinson disease,"achalasia,fall,stiffness,withdraw,agitation,hemiplegia,difficulty,unresponsiveness,syncope,facial paresis,orthostasis,worry,drowsiness,sleepy,hematuria,tremor,night sweat,mass of body structure","Parkinson disease (PD) is a neurologic disease that affects the movement. The four main symptoms are tremors of the hands, arms, legs, jaw, or head, specially at rest; rigidity, or stiffness; bradykinesia, or slow movement; and postural instability or inability to find balance. The symptoms start slowly, but progress over time, impairing everyday activities such as walking, talking, or completing simple tasks. Other symptoms may include emotional problems, trouble swallowing and speaking; urinary problems or constipation; skin problems; sleep problems, low blood pressure when standing up from sitting or lying down (postural hypotension), and inexpressive face",
peptic ulcer,"pain abdominal,paraparesis,nausea,vomiting,polymyalgia,out of breath,pain chest,hemiplegia,gurgle,hunger,apyrexial,nervousness","Peptic ulcers are sores that develop in the lining of the stomach, lower esophagus, or small intestine. Theyâ€™re usually formed as a result of inflammation caused by the bacteria Different factors can cause the lining of the stomach, the esophagus, and the small intestine to break down. These include:H. pylori, as well as from erosion from stomach acids. Peptic ulcers are a fairly common health problem.Helicobacter pylori (H. pylori), a type of bacteria that can cause a stomach infection and inflammation, frequent use of aspirin (Bayer), ibuprofen (Advil), and other anti-inflammatory drugs (risk associated with this behavior increases in women and people over the age of 60), smoking, drinking too much alcohol, radiation therapy,stomach cancer,bacterium Helicobacter pylori (H. pylori) and long-term use of aspirin and nonsteroidal anti-inflammatory drugs (NSAIDs) (Advil, Aleve, others). Stress and spicy foods do not cause peptic ulcers",
Pericardial Effusion,"pericardial friction rub,dyspnea,shortness of breath,hemodynamically stable,cardiomegaly,hypotension,sputum purulent,facial paresis,pain,oliguria,blackout,intoxication","A pericardium disease that is characterized by an abnormal accumulation of fluid in the pericardial cavity.related to cardiac tamponade and constrictive pericarditis. An important gene associated with Pericardial Effusion is ADA (Adenosine Deaminase), and among its related pathways/superpathways are Human cytomegalovirus infection and Embryonic and Induced Pluripotent Stem Cell Differentiation Pathways and Lineage-specific Markers. The drugs Diclofenac and Tadalafil have been mentioned in the context of this disorder. Affiliated tissues include heart, lung and breast, and related phenotypes are homeostasis/metabolism and cardiovascular system. is the accumulation of too much fluid in the double-layered, sac-like structure around the heart The space between the layers normally contains a thin layer of fluid. But if the pericardium is diseased or injured, the resulting inflammation can lead to excess fluid. Fluid can also build up around the heart without inflammation, such as from bleeding after a chest trauma.Pericardial effusion puts pressure on the heart, affecting the heart's function. If untreated, it can lead to heart failure or death.",pericardial effusion body substance
peripheral vascular disease,"shortness of breath,rest pain,angina pectoris,unresponsiveness,hyperkalemia,sinus rhythm,labored breathing,dyspnea,sore to touch,anorexia,sleepy","Peripheral arterial disease (PAD) happens when there is a narrowing of the blood vessels outside of your heart. The cause of PAD is atherosclerosis.A vascular disease that is characterized by obstruction of larger arteries not within the coronary, aortic arch vasculature, or brain.t is primarily caused by the buildup of fatty plaque in the arteries, which is called atherosclerosis. PAD can occur in any blood vessel, but it is more common in the legs than the arms.",
personality disorder,"nightmare,feeling hopeless,transsexual,hallucinations auditory,irritable mood,sleeplessness,agitation,weepiness,mood depressed,scratch marks,nausea and vomiting,extreme exhaustion,side pain,worry,enuresis,homelessness,nervousness,ascites,pruritus",Personality disorders are a group of mental illnesses. They involve long-term patterns of thoughts and behaviors that are unhealthy and inflexible. The behaviors cause serious problems with relationships and work.have trouble dealing with everyday stresses and problems.,
Pneumocystosis ,"yellow sputum,cachexia,chill,decreased body weight,productive cough,myalgia,diarrhea,neck stiffness,hacking cough,dyspareunia,hypokalemia,dyspnea on exertion,poor dentition,transaminitis,non-productive cough,headache,floppy,spontaneous rupture of membranes","is a serious infection caused by the fungus Pneumocystis jirovecii. Most people who get PCP have a medical condition that weakens their immune system, like HIV/AIDS, or take medicines that lower the body's ability to fight germs and sickness. In the United States, people with HIV/AIDS are less likely to get PCP today than before the availability of antiretroviral therapy (ART) that effects interstitial and alveolar tissues and has symptom nonproductive cough, has symptom shortness of breath, and has symptom fever.",Pneumocystis carnii
pneumonia,"cough,fever,decreased translucency,shortness of breath,rale,productive cough,pleuritic pain,yellow sputum,breath sounds decreased,chill,rhonchus,green sputum,non-productive cough,wheezing,haemoptysis,distress respiratory,tachypnea,malaise,night sweat","Pneumonia is an infection in one or both of the lungs. Many germs, such as bacteria, viruses, and fungi, can cause pneumonia. You can also get pneumonia by inhaling a liquid or chemical.A lung disease that involves lung parenchyma or alveolar inflammation and abnormal alveolar filling with fluid (consolidation and exudation). It results from a variety of causes including infection with bacteria, viruses, fungi or parasites, and chemical or physical injury to the lungs. It is accompanied by fever, chills, cough, and difficulty in breathing.",
pneumothorax,"dyspnea,cardiovascular finding,cardiovascular event,haemoptysis,cough,hypercapnia,soft tissue swelling,prostatism,agitation","neumothorax is defined as air or gas accumulated in the pleural space and can be classified as spontaneous or traumatic. Traumatic pneumothorax includes iatrogenic cases caused during procedures such as pacemaker insertion,Ruptured air blisters,Mechanical ventilation",
prostate cancer,"hematuria,dysesthesia,asthenia,polymyalgia,passed stones,pleuritic pain,guaiac positive,rale,breath sounds decreased,urge incontinence,dysuria,diarrhea,vertigo,qt interval prolonged,ataxia,paresis,hemianopsia homonymous,tumor cell invasion,hemodynamically stable,mass of body structure,rhonchus,orthostasis,decreased body weight","changes in the DNA of a normal prostate cell,oncogenes,BRCA1 and BRCA2,DNA mismatch repair genes (such as MSH2, MSH6, MLH1, and PMS2),Lynch syndrome (also known as hereditary non-polyposis colorectal cancer, or HNPCC)",carcinoma prostate malignant neoplasm of prostate
Prostatic Hypertrophy,"mental status changes,cachexia,blackout,orthostasis,orthopnea,night sweat,distress respiratory,anorexia,dysarthria","Prostatic Hypertrophy, also known as benign prostatic hypertrophy, is related to prostatic hyperplasia, benign and prostate disease, and has symptoms including prostatism An important gene associated with Prostatic Hypertrophy is KLK3 (Kallikrein Related Peptidase 3), and among its related pathways/superpathways are Endometrial cancer and Pathways in cancer. The drugs Scopolamine and Finasteride have been mentioned in the context of this disorder. Affiliated tissues include prostate, testes and smooth muscle, and related phenotypes are behavior/neurological and cardiovascular system",benign prostatic hypertrophy
Pseudobulbar Palsy,"extreme exhaustion,sleeplessness,enuresis,patient non compliance,feeling hopeless,hallucinations visual,bedridden,bedridden,prostatism,dysarthria,slurred speech,dysphagia,dysphonia,emotional lability","A brain disease that is characterized by damage to neurons of the corticobulbar tract, has symptom dysarthria, has symptom dysphagia, has symptom spasticity located in tongue, has symptom abnormal bulbar reflexes, and has symptom emotional outbursts. Pseudobulbar Palsy, also known as pseudobulbar paralysis, is related to cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1 and neuronal migration disorders, and has symptoms including spasticity, dysarthria and dysphagia. An important gene associated with Pseudobulbar Palsy is NOTCH3 (Notch Receptor 3). The drugs Nicotinamide and Tacrolimus have been mentioned in the context of this disorder. Affiliated tissues include tongue, brain and liver, and related phenotype is nervous system.",affect labile
psychotic disorder,"suicidal,hallucinations auditory,feeling suicidal,hallucinations visual,motor retardation,blackout,verbal auditory hallucinations,feeling hopeless,irritable mood,agitation,tremor,catatonia,weepiness,homelessness,sleeplessness,withdraw,energy increased,intoxication,worry,behavior hyperactive,patient non compliance,mood depressed,terrify,nightmare,consciousness clear, abnormal thinking","Traumatic brain injuries, brain tumors, strokes, Parkinsonâ€™s disease, Alzheimerâ€™s disease, dementia, and HIV can all bring on psychosis,Triggers include some prescription medications and abuse of alcohol or drugs like marijuana, LSD, and amphetamines,schizophrenia,hallucinations, deluisions abnormal thinking",
Pulmonary Disease,"cough,throat sore,wheezing,shortness of breath,labored breathing,fever,stuffy nose,non-productive cough,snuffle,indifferent mood,egophony,barking cough,polymyalgia,pleuritic pain,night sweat,dyspnea,productive cough,decreased translucency,rhonchus,rapid shallow breathing,apyrexial,noisy respiration,nasal discharge present,emphysematous change,frail,cystic lesion,symptom aggravating factors,hemodynamically stable","The upper respiratory tract includes the sinuses, nasal passages, pharynx, and larynx. These structures direct the air we breathe from the outside to the trachea and eventually to the lungs for respiration to take place.An upper respiratory tract infection, or upper respiratory infection, is an infectious process of any of the components of the upper airway, Thinoviruses,Group A streptococci,Influenza and parainfluenza viruses,Respiratory syncytial virus,Epstein-Barr virus,Diphtheria",upper respiratory infection chronic obstructive 
pulmonary edema,"urgency of micturition,shortness of breath,rale,tachypnea,orthopnea,Heberden's node,jugular venous distention,dyspnea,sweat,sweating increased,patient non compliance,chest discomfort,hyperkalemia,sinus rhythm,pain chest,hypotension,wheezing","Pulmonary Edema is related to acute mountain sickness and acute respiratory distress syndrome, and has symptoms including edema, hemoptysis and peau d'orange. Pulmonary Edema is related to acute mountain sickness and acute respiratory distress syndrome, and has symptoms including edema, hemoptysis and peau d'orange. Pulmonary edema is fluid accumulation in the tissue and air spaces of the lungs.",
pulmonary embolism,"shortness of breath,hypoxemia,tachypnea,hematocrit decreased,pain chest,dyspnea,pleuritic pain,neck stiffness,yellow sputum,productive cough,cicatrisation,unresponsiveness,distress respiratory,wheezing,apyrexial,non-productive cough","is a sudden blockage in a lung artery. It usually happens when a when a blood clot breaks loose and travels through the bloodstream to the lungs. PE is a serious condition that can cause Permanent damage to the lungs Low oxygen levels in your blood Damage to other organs in your body from not getting enough oxygen PE can be life-threatening, especially if a clot is large, or if there are many clots.blood clot in the leg called a deep vein thrombosis that breaks loose and travels through the bloodstream to the lung",
pulmonary emphysema,"behavior showing increased motor activity,scar tissue,dyspnea on exertion,coordination abnormal,myalgia,hypercapnia,clammy skin,has religious belief,room spinning,moan,night sweat,cachexia,symptom aggravating factors,dyspnea,rale,flushing,painful swallowing,arthralgia,choke,tenesmus,constipation","Pulmonary Emphysema is related to alpha-1-antitrypsin deficiency and bronchitis, and has symptoms including hemoptysis, snoring and coughing. An important gene associated with Pulmonary Emphysema is SERPINA1 (Serpin Family A Member 1), and among its related pathways/superpathways are Innate Immune System and Degradation of the extracellular matrix. The drugs Simvastatin and Sodium citrate have been mentioned in the context of this disorder. Affiliated tissues include lung, bone and testes, and related phenotypes are homeostasis/metabolism and hematopoietic system",
Pulmonary Hypertension,"shortness of breath,Stahli's line,heavy legs,breath sounds decreased,neck stiffness,dyspnea on exertion,cyanosis,hypotension,left atrial hypertrophy","Pulmonary hypertension (PH) is high blood pressure in the arteries to your lungs. It is a serious condition. If you have it, the blood vessels that carry blood from your heart to your lungs become hard and narrow. Your heart has to work harder to pump the blood through. Over time, your heart weakens. involve treating the heart or lung disease, medicines, oxygen, and sometimes lung transplantation. NIH: National Heart, Lung, and Blood Institute",
pyelonephritis,"fever,pain,urgency of micturition,hematuria,vomiting,chill,diarrhea,nausea,pain abdominal,myalgia,fever,chill","is related to acute cystitis and pyelitis. An important gene associated with Pyelonephritis is TLR4 (Toll Like Receptor 4), and among its related pathways/superpathways are Innate Immune System and ERK Signaling.Affiliated tissues include kidney, testes and prostate, ",
respiratory failure,"hemiplegia,snore,unresponsiveness,productive cough,dyspnea,tachypnea,hyperkalemia,hypokinesia,sinus rhythm,general unsteadiness,bruit,consciousness clear,shortness of breath,lesion,redness",Respiratory failure is a condition in which your blood doesn't have enough oxygen or has too much carbon dioxide. A lung disease characterized by inadequate gas exchange by the respiratory system.,
schizophrenia,"hallucinations auditory,hypersomnolence,irritable mood,verbal auditory hallucinations,patient non compliance,agitation,suicidal,worry,hallucinations visual,underweight,underweight,homelessness","chizophrenia is a brain disorder classified as a psychosis, which means that it affects a person's thinking, sense of self, and perceptions. The disorder typically becomes evident during late adolescence or early adulthood. Signs and symptoms of schizophrenia include false perceptions called hallucinations.",
septicemia,"fever,distress respiratory,hypotension,tachypnea,chill,lethargy,bradycardia,breech presentation,cyanosis,spontaneous rupture of membranes,haemorrhage,unresponsiveness,rale,apyrexial","Septicemia, also known as sepsis, is a life-threatening complication that can happen when bacteria from another infection enter the blood and spread throughout the body.",systemic infection sepsis (invertebrate)
sickle cell anemia,"breakthrough pain,pain back,pain,shortness of breath,snuffle,pain chest,pain abdominal,hepatosplenomegaly,green sputum,apyrexial,headache","sc disease, is related to acute chest syndrome and deficiency anemia, and has symptoms including angina pectoris, abdominal pain and edema.A blood protein disease that is characterized by low number of red blood cells, repeated infections, and periodic episodes of pain, resulting from atypical hemoglobin molecules called hemoglobin S, which can distort red blood cells into a sickle, or crescent, shape.",
sinus tachycardia,"left atrial hypertrophy,sweat,sweating increased,alcohol binge episode,pressure chest,scar tissue,cardiovascular finding,cardiovascular event,orthostasis,shortness of breath,t wave inverted,vomiting,pain abdominal","Sinus tachycardia refers to a faster-than-usual heart rhythm. Your heart has a natural pacemaker called the sinus node, which generates electrical impulses that move through your heart muscle and cause it to contract, or beat.When these electrical impulses are transmitted normally, itâ€™s referred to as normal sinus rhythm. Normal sinus rhythm typically results in a heart rate of 60 to 100 beats per minute.",
Thrombocytopenia,"ecchymosis,monocytosis,posterior rhinorrhea,haemorrhage,tachypnea,fever,pruritus,hypotension,fatigue","A blood platelet disease characterized by low a platelet count in the blood.Thrombocytopenia is defined by a decrease in the number of platelets in circulating blood, resulting in the potential for increased bleeding and decreased ability for clotting. Inherited syndromes are relatively rare causes of thrombocytopenia, but some genes underlying these disorders have been elucidated.",
Thrombophlebitis,"swelling,pain,ecchymosis,shortness of breath,pain in lower limb,cardiomegaly,rale,erythema,hypotension,clonus,non-productive cough,redness","Pulmonary Hypertension, Chronic Thromboembolic, Without Deep Vein Thrombosis, also known as pulmonary hypertension, chronic thromboembolic, without deep vein thrombosis, susceptibility to, is related to chronic thromboembolic pulmonary hypertension and pulmonary hypertension. An important gene associated with Pulmonary Hypertension, Chronic Thromboembolic, Without Deep Vein Thrombosis is CTEPH1 (Pulmonary Hypertension, Chronic Thromboembolic, Without Deep Vein Thrombosis, Susceptibility To). The drugs Tissue Plasminogen Activator and Plasminogen have been mentioned in the context of this disorder. Affiliated tissues include lung, heart and endothelial, and related phenotypes are obesity and depressivity",deep vein thrombosis
tonic-clonic seizures,"drowsiness,lip smacking,myoclonus,tremor,phonophobia,rolling of eyes,sleepy,hirsutism,moody,muscle twitch,unresponsiveness,headache,ambidexterity,absences finding,spasm,decreased body weight,tumor cell invasion","An adolescence-adult electroclinical syndrome starting in adolescence exhibiting generalized tonic-clonic seizures as the only seizure type. Epilepsy with Generalized Tonic-Clonic Seizures, also known as tonic-clonic epilepsy, is related to epileptic encephalopathy, early infantile, 6 and seizure disorder, and has symptoms including seizures and non-epileptic convulsion. An important gene associated with Epilepsy with Generalized Tonic-Clonic Seizures is SCN1A (Sodium Voltage-Gated Channel Alpha Subunit 1), and among its related pathways/superpathways are L1CAM interactions and Phase 0 - rapid depolarisation. The drugs Lamotrigine and Levetiracetam have been mentioned in the context of this disorder. Affiliated tissues include testes, brain and cerebellum, ",tonic-clonic epilepsy
Transient Cerebral Ischemia,"speech slurred,dysarthria,facial paresis,asthenia,neck stiffness,vertigo,numbness,lightheadedness,extrapyramidal sign,Stahli's line,vision blurred,headache,room spinning,syncope,difficulty,rambling speech,clumsiness","A transient ischemic attack (TIA) is a stroke that lasts only a few minutes. It happens when the blood supply to part of the brain is briefly blocked. Symptoms of a TIA are like other stroke symptoms, but do not last as long. A transient ischemic attack has the same origins as that of an ischemic stroke, the most common type of stroke. In an ischemic stroke, a clot blocks the blood supply to part of your brain. In a transient ischemic attack, unlike a stroke, the blockage is brief, and there is usually no permanent damage. The underlying cause of a TIA often is a buildup of cholesterol-containing fatty deposits called plaques (atherosclerosis) in an artery or one of its branches that supplies oxygen and nutrients to your brain.",transient ischemic attack
tricuspid valve insufficiency,"shortness of breath,pain,vomiting,nausea,bradycardia,pain abdominal,fever,cicatrisation,mediastinal shift,impaired cognition","Tricuspid Valve Insufficiency, also known as tricuspid regurgitation, is related to pulmonary hypertension, primary, 1 and patent ductus arteriosus 1. An important gene associated with Tricuspid Valve Insufficiency is PTPN11 (Protein Tyrosine Phosphatase Non-Receptor Type 11). The drugs Tolvaptan and Bupivacaine have been mentioned in the context of this disorder. Affiliated tissues include heart, liver and lungInfections such as infective endocarditis or rheumatic fever,Pulmonary hypertension, regurgitation",
urinary tract ,"fever,dysuria,hematuria,renal angle tenderness,lethargy,asthenia,hyponatremia,hemodynamically stable,distress respiratory,difficulty passing urine,mental status changes,consciousness clear","Urinary Tract Infections, Recurrent, also known as urinary tract infections, recurrent, susceptibility to, is related to acute cystitis and ectrodactyly and ectodermal dysplasia without cleft lip/palate. An important gene associated with Urinary Tract Infections, Recurrent is CXCR1 (C-X-C Motif Chemokine Receptor 1). The drugs Acetylcholine and Methenamine have been mentioned in the context of this disorder. Affiliated tissues include spinal cord, prostate and kidney.",
